 train         node      observed        predicted
     y             1   -5.823257E-01    1.335470E-01
     y             1    4.019010E-01    1.736217E-01
     y             1   -5.167964E-01    2.053150E-01
     y             1    9.987383E-01    2.206172E-01
     y             1    5.087926E-01    1.398678E-01
     y             1    2.226456E-01    2.489070E-01
     y             1    1.319954E-01    2.927257E-01
     y             1    9.056359E-01    1.864203E-01
     y             1    1.612111E-01    1.411650E-01
     y             1    3.941119E-01    1.629343E-01
     y             1    4.075308E-01    2.080580E-01
     y             1   -1.460996E-01    9.131560E-02
     y             1    5.501237E-01    2.092475E-01
     y             1    4.915171E-01    1.488154E-01
     y             1    4.328899E-01    2.282688E-01
     y             1    3.005259E-01    2.105379E-01
     y             1   -2.473104E-01    2.883988E-01
     y             1   -1.636665E-01    1.738398E-01
     y             1    1.482005E-01    6.994848E-02
     y             1   -7.855069E-02    1.804060E-01
     y             1    2.471536E-01    2.658319E-01
     y             1    8.169447E-02    2.186377E-01
     y             1    3.663030E-01    1.383682E-01
     y             1    2.023365E-01    1.614501E-01
     y             1    5.533495E-01    1.522711E-01
     y             1    4.696318E-02    1.649841E-01
     y             1    5.885972E-01    1.980189E-01
     y             1    2.391466E-01    1.305308E-01
     y             1   -1.605934E-01    2.555066E-01
     y             1   -2.291599E-02    1.270680E-01
     y             1   -4.268030E-01    1.525918E-01
     y             1    6.378386E-01    1.515592E-01
     y             1    1.949196E-01    9.259594E-02
     n             1              NA    6.321024E-02
     y             1   -9.938156E-02    1.500496E-01
     y             1    5.997108E-01    1.556522E-01
     y             1   -3.871994E-01    1.000940E-01
     y             1    4.374569E-01    3.460240E-01
     y             1    5.979696E-01    2.395133E-01
     y             1    2.936292E-01    1.396555E-01
     n             1              NA    9.888046E-02
     y             1    5.557566E-01    3.908225E-01
     y             1    5.842817E-01    1.446035E-01
     n             1              NA    2.006190E-01
     y             1    1.427351E-01    1.598869E-01
     y             1    7.341434E-02    1.329838E-01
     y             1   -2.292259E-01    2.009459E-01
     y             1   -2.486455E-01    1.076797E-01
     y             1    8.032897E-02    1.569315E-01
     y             1   -5.310944E-01    2.461188E-01
     y             1    1.118330E+00    2.070160E-01
     y             1   -3.432235E-01    2.168576E-01
     y             1    1.522420E-01    5.825595E-02
     y             1    2.986197E-01    8.579483E-02
     y             1    2.553067E-01    9.917841E-02
     y             1    5.372375E-02    1.410227E-01
     n             1              NA    1.068402E-01
     y             1   -9.749778E-02    1.293937E-01
     y             1    2.443829E-01    3.687140E-01
     y             1    3.744942E-01    1.998238E-01
     y             1    2.999947E-01    6.601588E-02
     y             1   -9.044164E-02    1.376731E-01
     y             1    1.240954E-01    1.402055E-01
     y             1    5.525227E-02    3.558196E-01
     y             1    8.172063E-01    5.280808E-02
     y             1    1.706521E-01    5.839214E-02
