 train         node      observed        predicted
     y             1    2.689762E-01    1.778280E-01
     y             1   -9.744919E-01    1.778280E-01
     n             1              NA    1.778280E-01
     y             1    5.345749E-01    1.778280E-01
     y             1   -3.315777E-01    1.778280E-01
     y             1   -6.137282E-02    1.778280E-01
     y             1    6.691220E-01    1.778280E-01
     y             1    2.348235E-01    1.778280E-01
     y             1    1.828044E-01    1.778280E-01
     y             1   -5.823257E-01    1.778280E-01
     y             1    4.019010E-01    1.778280E-01
     y             1   -5.167964E-01    1.778280E-01
     y             1    9.987383E-01    1.778280E-01
     y             1    5.087926E-01    1.778280E-01
     y             1    2.226456E-01    1.778280E-01
     y             1    1.319954E-01    1.778280E-01
     y             1    9.056359E-01    1.778280E-01
     y             1    1.612111E-01    1.778280E-01
     y             1    3.941119E-01    1.778280E-01
     y             1    4.075308E-01    1.778280E-01
     y             1   -1.460996E-01    1.778280E-01
     y             1    5.501237E-01    1.778280E-01
     y             1    4.915171E-01    1.778280E-01
     y             1    4.328899E-01    1.778280E-01
     y             1    3.005259E-01    1.778280E-01
     y             1   -2.473104E-01    1.778280E-01
     y             1   -1.636665E-01    1.778280E-01
     y             1    1.482005E-01    1.778280E-01
     y             1   -7.855069E-02    1.778280E-01
     y             1    2.471536E-01    1.778280E-01
     y             1    8.169447E-02    1.778280E-01
     y             1    3.663030E-01    1.778280E-01
     y             1    2.023365E-01    1.778280E-01
     y             1    5.533495E-01    1.778280E-01
     y             1    4.696318E-02    1.778280E-01
     y             1    5.885972E-01    1.778280E-01
     y             1    2.391466E-01    1.778280E-01
     y             1   -1.605934E-01    1.778280E-01
     y             1   -2.291599E-02    1.778280E-01
     y             1   -4.268030E-01    1.778280E-01
     y             1    6.378386E-01    1.778280E-01
     y             1    1.949196E-01    1.778280E-01
     n             1              NA    1.778280E-01
     y             1   -9.938156E-02    1.778280E-01
     y             1    5.997108E-01    1.778280E-01
     y             1   -3.871994E-01    1.778280E-01
     y             1    4.374569E-01    1.778280E-01
     y             1    5.979696E-01    1.778280E-01
     y             1    2.936292E-01    1.778280E-01
     n             1              NA    1.778280E-01
     y             1    5.557566E-01    1.778280E-01
     y             1    5.842817E-01    1.778280E-01
     n             1              NA    1.778280E-01
     y             1    1.427351E-01    1.778280E-01
     y             1    7.341434E-02    1.778280E-01
     y             1   -2.292259E-01    1.778280E-01
     y             1   -2.486455E-01    1.778280E-01
     y             1    8.032897E-02    1.778280E-01
     y             1   -5.310944E-01    1.778280E-01
     y             1    1.118330E+00    1.778280E-01
     y             1   -3.432235E-01    1.778280E-01
     y             1    1.522420E-01    1.778280E-01
     y             1    2.986197E-01    1.778280E-01
     y             1    2.553067E-01    1.778280E-01
     y             1    5.372375E-02    1.778280E-01
     n             1              NA    1.778280E-01
     y             1   -9.749778E-02    1.778280E-01
     y             1    2.443829E-01    1.778280E-01
     y             1    3.744942E-01    1.778280E-01
     y             1    2.999947E-01    1.778280E-01
     y             1   -9.044164E-02    1.778280E-01
     y             1    1.240954E-01    1.778280E-01
     y             1    5.525227E-02    1.778280E-01
     y             1    8.172063E-01    1.778280E-01
     y             1    1.706521E-01    1.778280E-01
     y             1    7.253600E-01    1.778280E-01
     n             1              NA    1.778280E-01
     y             1    3.197879E-01    1.778280E-01
     y             1   -7.461164E-01    1.778280E-01
     y             1    6.107791E-01    1.778280E-01
     y             1    2.817177E-01    1.778280E-01
     y             1    1.220037E-01    1.778280E-01
     y             1    9.134844E-01    1.778280E-01
     y             1    2.651347E-01    1.778280E-01
     y             1    4.755781E-01    1.778280E-01
     y             1    4.125002E-01    1.778280E-01
     y             1   -8.655913E-02    1.778280E-01
     y             1    4.404484E-02    1.778280E-01
     y             1   -2.489656E-01    1.778280E-01
     y             1    4.780439E-01    1.778280E-01
     y             1    4.207500E-01    1.778280E-01
     n             1              NA    1.778280E-01
     y             1    4.048082E-01    1.778280E-01
     y             1    4.811523E-01    1.778280E-01
     y             1    2.613441E-01    1.778280E-01
     y             1    2.878171E-01    1.778280E-01
     y             1   -6.841554E-01    1.778280E-01
     y             1   -3.779088E-01    1.778280E-01
     y             1    4.809985E-02    1.778280E-01
     y             1    3.738879E-01    1.778280E-01
     y             1   -1.166073E-01    1.778280E-01
     y             1    1.350299E-01    1.778280E-01
     y             1   -1.921481E-01    1.778280E-01
     y             1    1.170691E-01    1.778280E-01
     n             1              NA    1.778280E-01
     y             1   -1.415098E-01    1.778280E-01
     y             1    4.528680E-01    1.778280E-01
     y             1   -2.029313E-01    1.778280E-01
     y             1   -1.793735E-02    1.778280E-01
     y             1    1.892183E-01    1.778280E-01
     y             1    2.916440E-01    1.778280E-01
     y             1    2.697857E-01    1.778280E-01
     y             1   -7.029502E-02    1.778280E-01
     y             1    2.457958E-01    1.778280E-01
     y             1    4.811999E-03    1.778280E-01
     y             1    3.541269E-01    1.778280E-01
     y             1    1.491398E-01    1.778280E-01
     y             1    4.315877E-01    1.778280E-01
     y             1    2.264380E-01    1.778280E-01
     y             1    8.755010E-01    1.778280E-01
     n             1              NA    1.778280E-01
     y             1    8.248764E-01    1.778280E-01
     y             1    8.038498E-01    1.778280E-01
     y             1    4.384764E-02    1.778280E-01
     y             1   -6.267458E-02    1.778280E-01
     y             1   -3.844265E-02    1.778280E-01
     y             1    5.212214E-01    1.778280E-01
     y             1    2.277903E-01    1.778280E-01
     y             1    3.970737E-01    1.778280E-01
     y             1   -2.032565E-01    1.778280E-01
     y             1   -1.854755E-01    1.778280E-01
     y             1    4.171574E-01    1.778280E-01
     y             1   -5.141574E-01    1.778280E-01
     y             1   -1.176949E-01    1.778280E-01
     y             1   -9.062713E-02    1.778280E-01
     y             1    5.898564E-01    1.778280E-01
     y             1    9.389526E-01    1.778280E-01
     y             1   -2.059142E-01    1.778280E-01
     y             1    3.404481E-01    1.778280E-01
     y             1   -4.189787E-01    1.778280E-01
     y             1   -3.042914E-01    1.778280E-01
     y             1    7.222803E-01    1.778280E-01
     y             1   -4.159682E-01    1.778280E-01
     y             1   -5.187033E-01    1.778280E-01
     y             1    6.675459E-01    1.778280E-01
     y             1    9.810951E-01    1.778280E-01
     y             1   -2.507611E-01    1.778280E-01
     y             1   -2.462461E-01    1.778280E-01
     y             1   -5.284002E-01    1.778280E-01
     y             1    6.925942E-01    1.778280E-01
     y             1   -1.767318E-02    1.778280E-01
     y             1    2.938876E-01    1.778280E-01
     y             1   -2.347313E-01    1.778280E-01
     y             1    2.411052E-01    1.778280E-01
     y             1    5.469834E-01    1.778280E-01
     y             1    1.089913E-01    1.778280E-01
     y             1    3.006214E-01    1.778280E-01
     y             1    9.978431E-01    1.778280E-01
     y             1   -1.445208E-01    1.778280E-01
     y             1    3.857679E-01    1.778280E-01
     y             1    2.138149E-01    1.778280E-01
     y             1    4.776251E-01    1.778280E-01
     y             1    4.366942E-01    1.778280E-01
     y             1    4.859256E-01    1.778280E-01
     y             1    2.981519E-01    1.778280E-01
     y             1    2.793014E-01    1.778280E-01
     y             1    5.486011E-01    1.778280E-01
     y             1   -9.128108E-02    1.778280E-01
     y             1    3.875690E-01    1.778280E-01
     y             1    1.514105E-01    1.778280E-01
     y             1   -6.220367E-02    1.778280E-01
     y             1    2.398660E-01    1.778280E-01
     y             1    2.115026E-01    1.778280E-01
     y             1    7.248992E-01    1.778280E-01
     y             1   -4.383720E-01    1.778280E-01
     y             1    5.013289E-01    1.778280E-01
     y             1   -9.295403E-02    1.778280E-01
     y             1   -4.089745E-01    1.778280E-01
     y             1    1.465693E-01    1.778280E-01
     y             1    5.613854E-01    1.778280E-01
     y             1    1.273700E-01    1.778280E-01
     y             1    4.117601E-01    1.778280E-01
     y             1    2.902445E-01    1.778280E-01
     y             1    6.163991E-01    1.778280E-01
     y             1    6.099157E-01    1.778280E-01
     y             1    5.720668E-01    1.778280E-01
     y             1    3.852809E-01    1.778280E-01
     y             1   -9.509300E-03    1.778280E-01
     y             1    5.102845E-02    1.778280E-01
     y             1    1.671985E-01    1.778280E-01
     y             1    1.831432E-01    1.778280E-01
     y             1   -1.607181E-01    1.778280E-01
     y             1    1.350155E-01    1.778280E-01
     y             1    2.727225E-02    1.778280E-01
     y             1    1.890963E-01    1.778280E-01
     y             1    4.171147E-01    1.778280E-01
     y             1   -4.095649E-01    1.778280E-01
     y             1    7.705710E-01    1.778280E-01
     y             1    3.924424E-01    1.778280E-01
     y             1   -1.708938E-02    1.778280E-01
     y             1    3.957766E-01    1.778280E-01
     y             1   -1.628691E-01    1.778280E-01
     y             1    1.667577E-01    1.778280E-01
     y             1    4.351575E-01    1.778280E-01
     y             1    5.084380E-01    1.778280E-01
     y             1   -1.756508E-01    1.778280E-01
     y             1    6.503643E-01    1.778280E-01
     y             1    5.372933E-01    1.778280E-01
     y             1    1.893164E-01    1.778280E-01
     y             1   -3.513495E-01    1.778280E-01
     y             1   -1.829500E-01    1.778280E-01
     y             1    1.915462E-01    1.778280E-01
     y             1    2.050280E-01    1.778280E-01
     y             1    1.569398E-01    1.778280E-01
     y             1   -2.539001E-01    1.778280E-01
     y             1    8.720642E-01    1.778280E-01
     y             1   -2.214245E-01    1.778280E-01
     y             1    5.006030E-01    1.778280E-01
     y             1    5.117854E-01    1.778280E-01
     y             1   -5.764840E-02    1.778280E-01
     n             1              NA    1.778280E-01
     y             1    2.830335E-01    1.778280E-01
     n             1              NA    1.778280E-01
     y             1   -3.448856E-02    1.778280E-01
     y             1    5.641479E-01    1.778280E-01
     y             1   -4.593133E-01    1.778280E-01
     y             1    2.054337E-01    1.778280E-01
     y             1    3.987962E-01    1.778280E-01
     y             1    4.324810E-01    1.778280E-01
     y             1   -9.683536E-02    1.778280E-01
     y             1    2.994265E-01    1.778280E-01
     y             1    2.395367E-01    1.778280E-01
     y             1    7.551074E-01    1.778280E-01
     y             1    2.401529E-01    1.778280E-01
     y             1    3.377064E-02    1.778280E-01
     y             1    1.405978E-01    1.778280E-01
     y             1    4.860044E-01    1.778280E-01
     y             1    4.249054E-01    1.778280E-01
     y             1   -1.629053E-01    1.778280E-01
     y             1    8.714443E-01    1.778280E-01
     y             1    2.264871E-01    1.778280E-01
     y             1   -6.552904E-01    1.778280E-01
     y             1    1.196301E-01    1.778280E-01
     y             1    1.239879E-01    1.778280E-01
     y             1    5.227947E-01    1.778280E-01
     y             1   -1.090687E-01    1.778280E-01
     y             1    1.806191E-01    1.778280E-01
     y             1   -5.171908E-03    1.778280E-01
     y             1   -1.641093E-01    1.778280E-01
     y             1   -4.114463E-01    1.778280E-01
     y             1   -3.731640E-01    1.778280E-01
     y             1   -5.359573E-02    1.778280E-01
     y             1    3.407969E-01    1.778280E-01
     y             1    3.627013E-01    1.778280E-01
     y             1   -3.003628E-01    1.778280E-01
     y             1    1.939898E-01    1.778280E-01
     y             1   -3.908063E-01    1.778280E-01
     y             1    4.062591E-02    1.778280E-01
     y             1    2.422080E-01    1.778280E-01
     y             1   -3.072056E-02    1.778280E-01
     y             1    2.728183E-01    1.778280E-01
     y             1   -1.900309E-01    1.778280E-01
     y             1    4.316661E-01    1.778280E-01
     y             1    6.830456E-01    1.778280E-01
     y             1    2.756026E-03    1.778280E-01
     y             1   -3.006986E-01    1.778280E-01
     y             1   -4.136075E-01    1.778280E-01
     y             1    4.361489E-02    1.778280E-01
     y             1    1.114229E+00    1.778280E-01
     y             1    5.532249E-01    1.778280E-01
     y             1    1.951305E-01    1.778280E-01
     y             1    3.263414E-01    1.778280E-01
     y             1    4.999530E-01    1.778280E-01
     y             1    5.831185E-01    1.778280E-01
     y             1    9.889287E-02    1.778280E-01
     y             1    5.507760E-01    1.778280E-01
     y             1   -1.991151E-01    1.778280E-01
     n             1              NA    1.778280E-01
     y             1    1.255716E-01    1.778280E-01
     y             1    2.033444E-01    1.778280E-01
     y             1    3.427710E-01    1.778280E-01
     y             1    9.272109E-02    1.778280E-01
     y             1    7.315519E-01    1.778280E-01
     y             1    3.019575E-01    1.778280E-01
     y             1    2.697068E-01    1.778280E-01
     y             1    4.790388E-01    1.778280E-01
     y             1    2.162652E-01    1.778280E-01
     y             1    3.080014E-01    1.778280E-01
     y             1    3.393837E-01    1.778280E-01
     n             1              NA    1.778280E-01
     y             1    2.700247E-01    1.778280E-01
     y             1   -1.052640E-01    1.778280E-01
     y             1    2.224903E-04    1.778280E-01
     y             1   -8.398561E-02    1.778280E-01
     y             1    4.667940E-01    1.778280E-01
     y             1   -1.921721E-01    1.778280E-01
     y             1    1.100124E-01    1.778280E-01
     y             1    8.948242E-01    1.778280E-01
     y             1    6.025426E-01    1.778280E-01
     y             1   -6.178907E-02    1.778280E-01
     n             1              NA    1.778280E-01
     y             1    5.172253E-01    1.778280E-01
     y             1    4.564742E-01    1.778280E-01
     y             1    1.375328E-01    1.778280E-01
     y             1    3.286071E-02    1.778280E-01
     y             1    2.552706E-01    1.778280E-01
     y             1    2.237340E-01    1.778280E-01
     y             1   -1.402322E-01    1.778280E-01
     y             1   -4.660781E-01    1.778280E-01
     y             1    5.574045E-01    1.778280E-01
     y             1   -1.584204E-01    1.778280E-01
     y             1   -3.113253E-02    1.778280E-01
     y             1    2.031289E-01    1.778280E-01
     y             1    5.896766E-01    1.778280E-01
     y             1    1.773986E-01    1.778280E-01
     y             1   -2.354217E-02    1.778280E-01
     y             1    4.866209E-01    1.778280E-01
     y             1    5.210915E-02    1.778280E-01
     y             1    3.139471E-01    1.778280E-01
     y             1   -4.339101E-01    1.778280E-01
     y             1   -8.462137E-02    1.778280E-01
     y             1   -3.719086E-02    1.778280E-01
     y             1    1.081950E+00    1.778280E-01
     y             1   -2.138698E-01    1.778280E-01
     y             1    3.611493E-01    1.778280E-01
     y             1    2.440325E-01    1.778280E-01
     y             1    5.058108E-01    1.778280E-01
     n             1              NA    1.778280E-01
     y             1   -3.793859E-02    1.778280E-01
     y             1    1.321283E-01    1.778280E-01
     y             1    9.850435E-01    1.778280E-01
     y             1    5.305252E-01    1.778280E-01
     y             1    7.691795E-01    1.778280E-01
     y             1    2.826190E-01    1.778280E-01
     y             1    3.862118E-01    1.778280E-01
     y             1   -3.134852E-01    1.778280E-01
     y             1   -4.073121E-01    1.778280E-01
     y             1    6.431167E-02    1.778280E-01
     y             1    2.926378E-01    1.778280E-01
     y             1    6.026200E-01    1.778280E-01
     y             1   -3.745977E-01    1.778280E-01
     y             1    4.201063E-01    1.778280E-01
     y             1    1.047018E-01    1.778280E-01
     y             1    3.396489E-01    1.778280E-01
     y             1   -2.763432E-01    1.778280E-01
     n             1              NA    1.778280E-01
     y             1    3.315404E-01    1.778280E-01
     y             1    1.040626E-01    1.778280E-01
     y             1   -5.034333E-02    1.778280E-01
     y             1    1.695559E-01    1.778280E-01
     y             1   -3.200516E-02    1.778280E-01
     y             1    1.450396E-01    1.778280E-01
     y             1    8.140425E-01    1.778280E-01
     y             1    2.654624E-01    1.778280E-01
     y             1   -3.157283E-01    1.778280E-01
     y             1    1.110539E-01    1.778280E-01
     y             1    4.815345E-01    1.778280E-01
     y             1    6.487324E-01    1.778280E-01
     y             1    1.343224E-01    1.778280E-01
     y             1   -3.494195E-01    1.778280E-01
     y             1    1.668253E-01    1.778280E-01
     y             1    2.911757E-01    1.778280E-01
     y             1    1.200503E+00    1.778280E-01
     y             1    3.477067E-01    1.778280E-01
     y             1    4.106689E-01    1.778280E-01
     n             1              NA    1.778280E-01
     y             1    4.322196E-01    1.778280E-01
     y             1    6.270307E-01    1.778280E-01
     y             1    4.814431E-01    1.778280E-01
     y             1    8.263065E-01    1.778280E-01
     y             1    4.057376E-01    1.778280E-01
     y             1    2.732586E-01    1.778280E-01
     y             1    1.719110E-01    1.778280E-01
     y             1    5.099684E-01    1.778280E-01
     y             1    2.566416E-01    1.778280E-01
     y             1   -1.108702E-01    1.778280E-01
     y             1    2.842180E-01    1.778280E-01
     y             1    2.693689E-01    1.778280E-01
     y             1    6.453585E-01    1.778280E-01
     y             1   -1.905550E-01    1.778280E-01
     y             1    6.223991E-02    1.778280E-01
     y             1    3.871842E-01    1.778280E-01
     y             1   -8.754052E-02    1.778280E-01
     y             1    2.215977E-01    1.778280E-01
     n             1              NA    1.778280E-01
     y             1   -6.058532E-02    1.778280E-01
     y             1    3.523963E-01    1.778280E-01
     y             1   -9.701472E-02    1.778280E-01
     y             1    3.677458E-01    1.778280E-01
     y             1    8.951859E-01    1.778280E-01
     y             1    2.527660E-01    1.778280E-01
     y             1    4.042352E-01    1.778280E-01
     y             1    3.002334E-01    1.778280E-01
     y             1    1.490253E-01    1.778280E-01
     y             1   -1.385945E-01    1.778280E-01
     y             1    6.189112E-01    1.778280E-01
     y             1    3.828602E-01    1.778280E-01
     y             1    1.324851E-01    1.778280E-01
     y             1    8.950384E-02    1.778280E-01
     y             1    3.894333E-01    1.778280E-01
     y             1    1.548875E-02    1.778280E-01
     y             1    4.665688E-01    1.778280E-01
     y             1    8.587344E-02    1.778280E-01
     y             1   -5.041591E-02    1.778280E-01
     y             1   -1.438411E-01    1.778280E-01
     y             1    1.575452E-01    1.778280E-01
     y             1    2.785516E-02    1.778280E-01
     y             1   -5.883843E-01    1.778280E-01
     y             1   -1.220705E-01    1.778280E-01
     y             1    4.096688E-01    1.778280E-01
     y             1    9.698228E-02    1.778280E-01
     n             1              NA    1.778280E-01
     y             1    2.250466E-01    1.778280E-01
     y             1    2.699953E-01    1.778280E-01
     y             1   -3.968177E-01    1.778280E-01
     y             1   -1.031028E-01    1.778280E-01
     y             1    5.284392E-01    1.778280E-01
     y             1    4.923141E-01    1.778280E-01
     y             1   -4.698935E-02    1.778280E-01
     n             1              NA    1.778280E-01
     y             1   -3.091034E-01    1.778280E-01
     y             1    9.572566E-01    1.778280E-01
     n             1              NA    1.778280E-01
     y             1    3.626926E-01    1.778280E-01
     y             1   -4.790688E-01    1.778280E-01
     y             1    7.055422E-01    1.778280E-01
     y             1    4.632619E-01    1.778280E-01
     y             1   -2.986764E-01    1.778280E-01
     y             1    8.385799E-02    1.778280E-01
     y             1   -7.765264E-02    1.778280E-01
     y             1    1.331859E-01    1.778280E-01
     y             1    3.093577E-01    1.778280E-01
